,pays,cluster
0,Fiji,2
1,United Republic of Tanzania,1
2,Canada,4
3,United States of America,4
4,Kazakhstan,2
5,Indonesia,2
6,Argentina,4
7,Chile,2
8,Kenya,1
9,Dominican Republic,2
10,Russian Federation,4
11,Bahamas,0
12,Norway,4
13,South Africa,0
14,Lesotho,1
15,Mexico,0
16,Uruguay,2
17,Brazil,4
18,Bolivia (Plurinational State of),2
19,Peru,1
20,Colombia,2
21,Costa Rica,2
22,Honduras,0
23,El Salvador,0
24,Guatemala,0
25,Suriname,0
26,France,4
27,Jamaica,0
28,Botswana,0
29,Namibia,0
30,Senegal,1
31,Benin,1
32,Niger,1
33,Togo,1
34,Ghana,1
35,Côte d'Ivoire,1
36,Congo,0
37,Zambia,1
38,Eswatini,0
39,Lebanon,0
40,Tunisia,0
41,Jordan,0
42,United Arab Emirates,0
43,Kuwait,0
44,Iraq,1
45,Oman,0
46,Cambodia,3
47,Thailand,2
48,Myanmar,3
49,Republic of Korea,2
50,India,3
51,Bangladesh,3
52,Pakistan,0
53,Afghanistan,1
54,Kyrgyzstan,0
55,Armenia,2
56,Sweden,4
57,Belarus,2
58,Ukraine,4
59,Poland,2
60,Austria,4
61,Hungary,2
62,Romania,2
63,Lithuania,2
64,Latvia,2
65,Estonia,2
66,Germany,4
67,Bulgaria,2
68,Greece,4
69,Turkey,2
70,Croatia,4
71,Switzerland,4
72,Luxembourg,0
73,Belgium,4
74,Netherlands,4
75,Portugal,4
76,Spain,4
77,Ireland,2
78,Australia,4
79,"China, mainland",3
80,Italy,4
81,Denmark,4
82,United Kingdom of Great Britain and Northern Ireland,4
83,Azerbaijan,0
84,Georgia,2
85,Philippines,2
86,Malaysia,2
87,Slovenia,4
88,Finland,4
89,Slovakia,2
90,Czechia,4
91,Japan,4
92,Saudi Arabia,0
93,Cyprus,0
94,Morocco,0
95,Egypt,0
96,Uganda,1
97,Bosnia and Herzegovina,2
98,North Macedonia,2
99,Serbia,2
